

Date format: D M d Y @ g:i:s a,Type,Test Size,Score Mbps,Score MB/s,Username,Computer ID,ISP / Host,Extra Identifier,Test ID

Wed Nov 18 2020 @ 8:23:49 am,UP,7.7 MB,11.52,1.44,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,Vx9kObuB1
Wed Nov 18 2020 @ 8:19:12 am,UP,55.4 MB,21.88,2.73,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,ASYx01pZY
Wed Nov 18 2020 @ 8:13:59 am,UP,19.6 MB,15.6,1.95,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,3iJ9g7N2I
Wed Nov 18 2020 @ 8:08:48 am,UP,21.9 MB,23.54,2.94,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,Tv2U-bbaB
Wed Nov 18 2020 @ 8:03:51 am,UP,47.1 MB,34.7,4.34,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,gsMPtmXJH
Wed Nov 18 2020 @ 7:58:45 am,UP,5.8 MB,10.36,1.29,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,7VwXliTbU
Wed Nov 18 2020 @ 7:53:47 am,UP,21.1 MB,44.26,5.53,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,tJQO3ZQbX
Wed Nov 18 2020 @ 7:48:51 am,UP,44.1 MB,35.55,4.44,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,k0fEeinZn
Wed Nov 18 2020 @ 7:43:54 am,UP,41.4 MB,18.2,2.27,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,6La1Jpncj
Wed Nov 18 2020 @ 7:38:50 am,UP,43.1 MB,24.84,3.11,Mohanad Odema,15519503806496,university_of_califo,60-26---irvine-ca-us,gupowzC8n
